id,setId,number,name,productCategoryTitle,type,color,energyType,cardLevel,hp,keyword,rarity,skillName,description,attackText,flipText,isBan,isLimit,isExtra,base_id,is_alt_art,all_rules_text,grade,imageUrl
BS1-012@1,BS1,012@1,Wildberry Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,3,6,,SSR,,"If your break area is LV.9, this Cookie gains +2 attack damage.",<{R}{R}{R}{R}> Deals 4 damage.,,0,0,0,BS1-012,1,"If your break area is LV.9, this Cookie gains +2 attack damage.
<{R}{R}{R}{R}> Deals 4 damage.",SECRET SUPER RARE,https://cookierunbraverse.com/data/en_storage/avARJae4WAwt5o_1wSv6SQ.webp
BS1-013,BS1,013,GingerBrave,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,1,1,,C,,,"<{R}> Deals 2 damage. Then, discard 1 card.",,0,0,0,BS1-013,0,"<{R}> Deals 2 damage. Then, discard 1 card.",COMMON,https://cookierunbraverse.com/data/en_storage/0eATfMvTXg_vPdbm9CtLHg.webp
BS1-014,BS1,014,GingerBrave,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,1,2,,UR,,"【Activate】 【Once Per Turn】 <{R}{R}> During this turn, this Cookie gains +1 attack damage.",<{R}{R}> Deals 2 damage.,,0,0,0,BS1-014,0,"【Activate】 【Once Per Turn】 <{R}{R}> During this turn, this Cookie gains +1 attack damage.
<{R}{R}> Deals 2 damage.",ULTRA RARE,https://cookierunbraverse.com/data/en_storage/P4p94quT_vgDozYLtL3WhQ.webp
BS1-014@1,BS1,014@1,GingerBrave,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,1,2,,SUR,,"【Activate】 【Once Per Turn】 <{R}{R}> During this turn, this Cookie gains +1 attack damage.",<{R}{R}> Deals 2 damage.,,0,0,0,BS1-014,1,"【Activate】 【Once Per Turn】 <{R}{R}> During this turn, this Cookie gains +1 attack damage.
<{R}{R}> Deals 2 damage.",SECRET ULTRA RARE,https://cookierunbraverse.com/data/en_storage/XepanOin3b7zRgGzsWp2-A.webp
BS1-015,BS1,015,Rose Cookie,BOOSTER PACK [BRAVE BEGINNING],FLIP,RED,RED,3,3,,U,,,<{R}{R}{R}> Deals 3 damage.,Draw up to 1 card from your deck.,0,0,0,BS1-015,0,"<{R}{R}{R}> Deals 3 damage.
Draw up to 1 card from your deck.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/mKPqua2L_07EQnKGbdHUzA.webp
BS1-015@1,BS1,015@1,Rose Cookie,promotion card,FLIP,RED,RED,3,3,,P,,,"<{R}{R}{R}> Dance with me, now deals 3",Draw up to 1 card from your deck.,0,0,0,BS1-015,1,"<{R}{R}{R}> Dance with me, now deals 3
Draw up to 1 card from your deck.",PROMOTION,https://cookierunbraverse.com/data/en_storage/s9qWHCwFlZruae54AJz1Yw.webp
BS1-016,BS1,016,Choco Ball Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,2,2,,C,,"When this Cookie faints and you have 4 cards or less in your hand, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",<{R}{R}> Deals 2 damage.,,0,0,0,BS1-016,0,"When this Cookie faints and you have 4 cards or less in your hand, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.
<{R}{R}> Deals 2 damage.",COMMON,https://cookierunbraverse.com/data/en_storage/0DYnbAtkDTSqFuV_Z-7t0g.webp
BS1-017,BS1,017,Croissant Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,1,2,,SR,,"【Activate】 <{R}{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +2 attack damage.",<{R}> Deals 1 damage.,,0,0,0,BS1-017,0,"【Activate】 <{R}{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +2 attack damage.
<{R}> Deals 1 damage.",SUPER RARE,https://cookierunbraverse.com/data/en_storage/jXMswMG6JO9NN0nYe7GhKg.webp
BS1-017@1,BS1,017@1,Croissant Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,1,2,,SSR,,"【Activate】 <{R}{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +2 attack damage.",<{R}> Deals 1 damage.,,0,0,0,BS1-017,1,"【Activate】 <{R}{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +2 attack damage.
<{R}> Deals 1 damage.",SECRET SUPER RARE,https://cookierunbraverse.com/data/en_storage/eLOCUMzRk-j200CX2TgJaw.webp
BS1-018,BS1,018,Popcorn Cookie,BOOSTER PACK [BRAVE BEGINNING],FLIP,RED,RED,1,1,,U,,,<{R}> Deals 1 damage.,<Discard 1 card.> The Cookie with this card attached for HP gains +1 HP.,0,0,0,BS1-018,0,"<{R}> Deals 1 damage.
<Discard 1 card.> The Cookie with this card attached for HP gains +1 HP.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/i9sGqFFtOotSbLXuns6QlQ.webp
BS1-019,BS1,019,Walnut Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,3,4,,C,,,<{N}{N}{N}> Deals 4 damage.,,0,0,0,BS1-019,0,<{N}{N}{N}> Deals 4 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/QRzwJFGIe0ta10oVET13-A.webp
BS1-020,BS1,020,Red Pepper Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,3,4,,C,,,<{N}{N}> Deals 2 damage.,,0,0,0,BS1-020,0,<{N}{N}> Deals 2 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/pADbAT3-_8xerPo8vp9Akg.webp
BS1-021,BS1,021,Whipped Cream Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,2,4,,C,,,<{N}{N}{N}> Deals 3 damage.,,0,0,0,BS1-021,0,<{N}{N}{N}> Deals 3 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/J5UrQCd1F_Yr_fra-DTZvw.webp
BS1-022,BS1,022,Giant Cherry Bomb,BOOSTER PACK [BRAVE BEGINNING],ITEM,RED,RED,,,,R,,,<{R}{R}{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 3 damage.,,0,0,0,BS1-022,0,<{R}{R}{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 3 damage.,RARE,https://cookierunbraverse.com/data/en_storage/BNxDBCciJAr73g5t9zBbqw.webp
BS1-022@1,BS1,022@1,Giant Cherry Bomb,PROMOTION CARD,ITEM,RED,RED,,,,P,,<{R}{R}{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 3 damage.,,,0,0,0,BS1-022,1,<{R}{R}{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 3 damage.,PROMOTION,https://cookierunbraverse.com/data/en_storage/YbDfo8C2YUya8dnBACZDSw.webp
BS1-023,BS1,023,Spicy Power Juice,BOOSTER PACK [BRAVE BEGINNING],ITEM,RED,RED,,,,U,,,"<{R}> <Place 1 of your Cookies' HP cards in the trash until the Cookie's HP reaches 1.> Select up to 1 of your Cookies. During this turn, that Cookie gains +2 attack damage.",,0,0,0,BS1-023,0,"<{R}> <Place 1 of your Cookies' HP cards in the trash until the Cookie's HP reaches 1.> Select up to 1 of your Cookies. During this turn, that Cookie gains +2 attack damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/clvmNCGsIynbCdyIxhtJmA.webp
BS1-024,BS1,024,Pasta Spring Shoes,BOOSTER PACK [BRAVE BEGINNING],TRAP,RED,RED,,,,U,,,"<{R}{R}> If 1 of your Cookies has 1 HP, select up to 1 of your opponent's Cookies. During this turn, that Cookie deals -4 attack damage.",,0,0,0,BS1-024,0,"<{R}{R}> If 1 of your Cookies has 1 HP, select up to 1 of your opponent's Cookies. During this turn, that Cookie deals -4 attack damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/ONRkV7s0Lh2oLcMOP0q8qg.webp
BS1-025,BS1,025,Pineapple Helmet,BOOSTER PACK [BRAVE BEGINNING],TRAP,RED,RED,,,,U,,,"<{R}> If 1 of your Cookies has 1 HP, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",,0,0,0,BS1-025,0,"<{R}> If 1 of your Cookies has 1 HP, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/7BetM5k7ZD4C3nT9O3RTDA.webp
BS1-026,BS1,026,Desert Oasis,BOOSTER PACK [BRAVE BEGINNING],STAGE,RED,RED,,,,U,,,"<{R}{R}> Place in your stage area.
【Activate】 <Rest this card.> <Place 1 of your Cookies' HP cards in the trash.> Select up to 1 of your Cookies. During this turn, that Cookie gains +1 attack damage.",,0,0,0,BS1-026,0,"<{R}{R}> Place in your stage area.
【Activate】 <Rest this card.> <Place 1 of your Cookies' HP cards in the trash.> Select up to 1 of your Cookies. During this turn, that Cookie gains +1 attack damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/_TDLnsRndwMcxPwqFddi7g.webp
BS1-027,BS1,027,Ice Juggler Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,2,4,,C,,,<{N}{N}{N}> Deals 3 damage.,,0,0,0,BS1-027,0,<{N}{N}{N}> Deals 3 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/OK19Imzv5GT0d3jSUEgVyg.webp
BS1-028,BS1,028,Latte Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,3,5,,SR,,【Activate】 <{Y}> Select up to 1 of your other Cookies. That Cookie gains +1 HP.,"<{Y}{Y}{Y}> Deals 2 damage. Then, if your break area is LV.5 or higher, deals 1 damage to all of your opponent's Cookies.",,0,0,0,BS1-028,0,"【Activate】 <{Y}> Select up to 1 of your other Cookies. That Cookie gains +1 HP.
<{Y}{Y}{Y}> Deals 2 damage. Then, if your break area is LV.5 or higher, deals 1 damage to all of your opponent's Cookies.",SUPER RARE,https://cookierunbraverse.com/data/en_storage/OobUcWDexyPKEspKHcBNmA.webp
BS1-028@1,BS1,028@1,Latte Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,3,5,,SSR,,【Activate】 <{Y}> Select up to 1 of your other Cookies. That Cookie gains +1 HP.,"<{Y}{Y}{Y}> Deals 2 damage. Then, if your break area is LV.5 or higher, deals 1 damage to all of your opponent's Cookies.",,0,0,0,BS1-028,1,"【Activate】 <{Y}> Select up to 1 of your other Cookies. That Cookie gains +1 HP.
<{Y}{Y}{Y}> Deals 2 damage. Then, if your break area is LV.5 or higher, deals 1 damage to all of your opponent's Cookies.",SECRET SUPER RARE,https://cookierunbraverse.com/data/en_storage/DkOHZxUpWv_jVWZxYvdPfQ.webp
BS1-029,BS1,029,Lime Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,1,2,,U,,"【Activate】 If your break area is LV.3 or higher, draw 1 card from your deck and discard 1 card.",<{Y}> Deals 1 damage.,,0,0,0,BS1-029,0,"【Activate】 If your break area is LV.3 or higher, draw 1 card from your deck and discard 1 card.
<{Y}> Deals 1 damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/G2r605qng-iaD79lyDIeFA.webp
BS1-030,BS1,030,Rockstar Cookie,BOOSTER PACK [BRAVE BEGINNING],FLIP,YELLOW,YELLOW,2,2,,C,,,<{Y}{Y}> Deals 2 damage.,Draw up to 1 card from your deck.,0,0,0,BS1-030,0,"<{Y}{Y}> Deals 2 damage.
Draw up to 1 card from your deck.",COMMON,https://cookierunbraverse.com/data/en_storage/ikw7-FoadUb6FQK1UwdoVA.webp
BS1-030@1,BS1,030@1,Rockstar Cookie,promotion card,FLIP,YELLOW,YELLOW,2,2,,P,,,<{Y}{Y}> Who's your favorite rock star? deals 2,Draw up to 1 card from your deck.,0,0,0,BS1-030,1,"<{Y}{Y}> Who's your favorite rock star? deals 2
Draw up to 1 card from your deck.",PROMOTION,https://cookierunbraverse.com/data/en_storage/hzwTfrqfNNXaVzx7rEQNBQ.webp
BS1-031,BS1,031,Marshmallow Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW MIX,1,3,,R,,"{bl} <{Y}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)",<{Y}{N}> Deals 1 damage.,,0,0,0,BS1-031,0,"{bl} <{Y}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)
<{Y}{N}> Deals 1 damage.",RARE,https://cookierunbraverse.com/data/en_storage/D-aybvf4a_AyeAuuOeMkLg.webp
BS1-031@1,BS1,031@1,Marshmallow Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW MIX,1,3,,SEC,,"{bl} <{Y}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)",<{Y}{N}> Deals 1 damage.,,0,0,0,BS1-031,1,"{bl} <{Y}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)
<{Y}{N}> Deals 1 damage.",SECRET RARE,https://cookierunbraverse.com/data/en_storage/S8PU4NKn1fsa_obtmg_WCw.webp
BS1-032,BS1,032,Banana Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,1,4,,C,,,<{N}{N}{N}> Deals 2 damage.,,0,0,0,BS1-032,0,<{N}{N}{N}> Deals 2 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/wNn8V4wVgX3FI7KElKQsIA.webp
BS1-033,BS1,033,Cyborg Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,1,2,,R,,,"<{Y}{Y}> Deals 1 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage for each Cookie that is LV.2 or higher in your break area.",,0,0,0,BS1-033,0,"<{Y}{Y}> Deals 1 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage for each Cookie that is LV.2 or higher in your break area.",RARE,https://cookierunbraverse.com/data/en_storage/rBcDSvzfK7HKyGEEOd8Mlw.webp
BS1-033@1,BS1,033@1,Cyborg Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,1,2,,SEC,,,"<{Y}{Y}> Deals 1 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage for each Cookie that is LV.2 or higher in your break area.",,0,0,0,BS1-033,1,"<{Y}{Y}> Deals 1 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage for each Cookie that is LV.2 or higher in your break area.",SECRET RARE,https://cookierunbraverse.com/data/en_storage/2ShlQSEpNwb7leMCQQ12fA.webp
BS1-034,BS1,034,Sandwich Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,1,1,,C,,【Activate】 <{Y}> Select up to 1 of your other Cookies. That Cookie gains +1 HP.,<{Y}> Deals 1 damage.,,0,0,0,BS1-034,0,"【Activate】 <{Y}> Select up to 1 of your other Cookies. That Cookie gains +1 HP.
<{Y}> Deals 1 damage.",COMMON,https://cookierunbraverse.com/data/en_storage/mr5YRpTZWMlSj3VT5PuW6w.webp
BS1-035,BS1,035,Cotton Candy Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,2,2,,U,,"When this Cookie faints, <can be used as {Y}.> Select up to 1 LV.1 Cookie in your break area. Place that Cookie in the trash.",<{Y}{Y}> Deals 2 damage.,,0,0,0,BS1-035,0,"When this Cookie faints, <can be used as {Y}.> Select up to 1 LV.1 Cookie in your break area. Place that Cookie in the trash.
<{Y}{Y}> Deals 2 damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/t6ojF78JqhVvuzgl78HZWw.webp
BS1-036,BS1,036,Snake Fruit Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,2,4,,SR,,【Activate】 <{Y}{Y}> Select up to 1 {Y} LV.1 Cookie from your break area and play it.,<{Y}{Y}{Y}> Deals 3 damage.,,0,0,0,BS1-036,0,"【Activate】 <{Y}{Y}> Select up to 1 {Y} LV.1 Cookie from your break area and play it.
<{Y}{Y}{Y}> Deals 3 damage.",SUPER RARE,https://cookierunbraverse.com/data/en_storage/i4mDHoL4Jo0hYOxH07qTdQ.webp
BS1-036@1,BS1,036@1,Snake Fruit Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,2,4,,SSR,,【Activate】 <{Y}{Y}> Select up to 1 {Y} LV.1 Cookie from your break area and play it.,<{Y}{Y}{Y}> Deals 3 damage.,,0,0,0,BS1-036,1,"【Activate】 <{Y}{Y}> Select up to 1 {Y} LV.1 Cookie from your break area and play it.
<{Y}{Y}{Y}> Deals 3 damage.",SECRET SUPER RARE,https://cookierunbraverse.com/data/en_storage/1Y2WZMsraH-BZ6vO7lZ_7g.webp
BS1-037,BS1,037,Timekeeper Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,3,5,,UR,,【Activate】 <Discard 1 card.> <{Y}{Y}> Select up to 1 LV.2 or lower Cookie from your break area. Place that Cookie in the trash.,"<{Y}{Y}{Y}> Deals 3 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's LV.1 Cookies. Place that Cookie in the break area.",,0,0,0,BS1-037,0,"【Activate】 <Discard 1 card.> <{Y}{Y}> Select up to 1 LV.2 or lower Cookie from your break area. Place that Cookie in the trash.
<{Y}{Y}{Y}> Deals 3 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's LV.1 Cookies. Place that Cookie in the break area.",ULTRA RARE,https://cookierunbraverse.com/data/en_storage/CQo4UaGjVxvPh9wuJFjicw.webp
BS1-037@1,BS1,037@1,Timekeeper Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,YELLOW,YELLOW,3,5,,SUR,,【Activate】 <Discard 1 card.> <{Y}{Y}> Select up to 1 LV.2 or lower Cookie from your break area. Place that Cookie in the trash.,"<{Y}{Y}{Y}> Deals 3 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's LV.1 Cookies. Place that Cookie in the break area.",,0,0,0,BS1-037,1,"【Activate】 <Discard 1 card.> <{Y}{Y}> Select up to 1 LV.2 or lower Cookie from your break area. Place that Cookie in the trash.
<{Y}{Y}{Y}> Deals 3 damage. Then, <can be used as {Y}.> Select up to 1 of your opponent's LV.1 Cookies. Place that Cookie in the break area.",SECRET ULTRA RARE,https://cookierunbraverse.com/data/en_storage/xRkP57IaklprjxaATWAfYg.webp
